Judul,Instansi,Lembaga,LembagaDetail,Author,PreProcess
Deteksi Gen Ketahanan Terhadap Penyakit Powdery Mildew dan Variasi Genetik Tanaman Melon (Cucumis melo L.) Hasil Pemuliaan Tanaman,Universitas Gadjah Mada,LPK,LPK,GANIES RIZA ARISTYA,deteksi gen tahan sakit powdery mildew variasi genetik tanam melon cucumis melo hasil mulia tanam
Persepsi Anggota Dewan Perwakilan Rakyat Daerah Terhadap Keterkaitan Antara Perilaku Oportunistik Etika dan Komitmen Organisasi Legislatif dengan Senjangan Anggaran Pendapatan dan Belanja Daerah,Universitas Islam Indonesia,LPK,LPK,HADRI KUSUMA,persepsi anggota dewan wakil rakyat daerah kait perilaku oportunistik etika komitmen organisasi legislatif senjang anggaran belanja daerah
Pengaruh Budaya Etis Organisasi Asimetri Informasi Penegakan Peraturan Ketidakpastian Lingkungan Terhadap Kemungkinan Terjadinya Fraud di Perusahaan,Universitas Islam Indonesia,LPK,LPK,HADRI KUSUMA,pengaruh budaya etis organisasi asimetri informasi tega atur ketidakpastian lingkung fraud usaha
Anteseden dan Konsekwensi Kebijakan Dividen,Universitas Islam Indonesia,LPK,LPK,HADRI KUSUMA,anteseden konsekwensi bijak dividen
Studi tentang Determinan dan Peranan Kepercayaan (Trust) dan Resiko dalam Menggunakan Teknologi Informasi di Indonesia,Universitas Islam Indonesia,LPK,LPK,HADRI KUSUMA,studi determinan peran percaya trust resiko teknologi informasi indonesia
Analisis Kinerja dan Sistem Handover pada Jaringan Wifi,Universitas Gadjah Mada,LPK,LPK,AHMAD ASHARI,analisis sistem handover jaring wifi
Cloud Based Processing untuk Visualisasi Data Science,Universitas Gadjah Mada,LPK,LPK,AHMAD ASHARI,cloud based processing visualisasi data science
Sistem Terdistribusi Berbasis Rfid Untuk Pengendalian Dan Pemantauan,Universitas Gadjah Mada,LPK,LPK,AHMAD ASHARI,sistem distribusi bas rfid kendali pantau
Pemantau dan pengendali tersebar memanfaatkan mikrokontroler dan virtual IP,Universitas Gadjah Mada,LPK,LPK,AHMAD ASHARI,pantau kendali sebar manfaat mikrokontroler virtual ip
Penguatan Program Jogja Seed Center melalui Produksi Benih Gama Melon Unggul,Universitas Gadjah Mada,LPK,LPK,PURNOMO,kuat program jogja seed tengah produksi benih gama melon unggul
Identifikasi Dendrobium spp.Berdasarkan Karakter Morfologis dan Anatomis Akar,Universitas Gadjah Mada,LPK,LPK,PURNOMO,identifikasi dendrobium spp dasar karakter morfologis anatomis akar
SINTESIS BIODIESEL DARI LIMBAH MINYAK NABATI TERKATALISIS (H2SO4/ZrO2) DAN (KOH/ ZrO2).,LPPM - Univ. Gadjah Mada,LPK,LPK,KARNA WIJAYA,sintesis biodiesel limbah minyak nabati katalis hso zro koh zro
Konversi Minyak Nabati Segar dan Bekas Menjadi Biofuel melalui Proses Hidrorengkah Terkatalisis Nikel dan Chrom Terimpregnasi Al2o3-Pillared Bentonite,Universitas Gadjah Mada,LPK,LPK,KARNA WIJAYA,konversi minyak nabati segar bekas biofuel proses hidrorengkah katalis nikel chrom impregnasi alo-pillared bentonite
Pemisahan Getah Minyak Nyamplung (Degumming) Menggunakan Etanol  Sebagai Langkah Awal Pembuatan Biodiesel Berbahan Baku Minyak Nyamplung (Calophyllum inophyllum) Dengan Katalis Heterogen H-Bentonit Dan Naoh,Universitas Gadjah Mada,LPK,LPK,KARNA WIJAYA,pisah getah minyak nyamplung degumming etanol langkah biodiesel bahan baku minyak nyamplung calophyllum inophyllum katalis heterogen h-bentonit naoh
Pengembangan Produk Susu Fermentasi Probiotik dengan Bakteri Asam Laktat Indigenous,Universitas Gadjah Mada,LPK,LPK,ENDANG SUTRISWATI RAHAYU,kembang produk susu fermentasi probiotik bakteri asam laktat indigenous
Teknologi pengendalian kontaminan mikotoksin menggunakan bakteri asam laktat untuk meningkatkan mutu biji kakao,Universitas Gadjah Mada,LPK,LPK,ENDANG SUTRISWATI RAHAYU,teknologi kendali kontaminan mikotoksin bakteri asam laktat tingkat mutu biji kakao
Bakteri Asam Laktat Indigenous dan Potensinya untuk mendukung industri Berbasis Susu di Indonesia.,Universitas Gadjah Mada,LPK,LPK,ENDANG SUTRISWATI RAHAYU,bakteri asam laktat indigenous potensi dukung industri bas susu indonesia
Pengembangan Teknologi Frying_distillation untuk produksi atsiri pada titik,Universitas Gadjah Mada,LPK,LPK,EUSTACHIUS PURNAMA DARMADJI,kembang teknologi frying distillation produksi atsiri titik
Modifikasi pati gembili (Dioscorea esculenta) dengan metode acetylasi asam asetat sebagai enkapsulan dalam proses mikroenkapsulasi asap cair,Universitas Gadjah Mada,LPK,LPK,EUSTACHIUS PURNAMA DARMADJI,modifikasi pati gembili dioscorea esculenta metode acetylasi asam asetat enkapsulan proses mikroenkapsulasi asap cair
Aliminasi Logam Berat Timbal (Pb) dan Kadmium (Cd) pada Kedelai (Glycine Max) dengan Esterifikasi Menggunakan Asam Sitrat dan Ekstrak Buah Markisa (Passiflora Flavicarva).,Universitas Gadjah Mada,LPK,LPK,EUSTACHIUS PURNAMA DARMADJI,aliminasi logam berat timbal pb kadmium cd kedelai glycine max esterifikasi asam sitrat ekstrak buah markisa passiflora flavicarva
Sistem Penyimpan Hidrogen Dalam Bentuk Partikel Nano Ammonia Borane Untuk Aplikasi Hydrogen Fuel Cell,LPPM - Univ. Gadjah Mada,LPK,LPK,IMAM PRASETYO,sistem simpan hidrogen bentuk partikel nano ammonia borane aplikasi hydrogen fuel cell
Pengembangan Green Catalyst Berbasis Limbah Biomassa untuk Produksi Biodiesel dari Algae yang Beroperasi secara Kontinyu,Universitas Islam Indonesia,LPK,LPK,ARIF HIDAYAT,kembang green catalyst bas limbah biomassa produksi biodiesel algae operasi kontinyu
Pembuatan Katalis dari Limbah Biomassa Ampas Tebu Untuk Sintesis Biodiesel Dengan menggunakan bahan baku Non Pangan,Universitas Islam Indonesia,LPK,LPK,ARIF HIDAYAT,katalis limbah biomassa ampas tebu sintesis biodiesel bahan baku non pangan
PELEMBAGAAN PRINSIP-PRINSIP GOOD GOVERNANCE DALAM SYSTEM ADMINISTRASI PERTANAHAN DI DIY DALAM RANGKA MEWUJUDKAN KEBIJAKAN PERTANAHAN YANG BERKELANJUTAN,Universitas Muhammadiyah Yogyakarta,LPK,LPK,SUNARNO,lembaga prinsip bagus governance sistem administrasi tanah diy rangka wujud bijak tanah
Rancang Bangun dan Pengujian Sistem Instrumentasi Pengukur Jarak dan Posisi Roket Berbasis Progammable System On Chip Beacon Hunting dan Telemetri,Universitas Gadjah Mada,LPK,LPK,SUNARNO,rancang bangun uji sistem instrumentasi ukur jarak posisi roket bas progammable sistem on chip beacon hunting telemetri
Rancang Bangun Instrumentasi Pengukur Jarak dan Posisi Roket Berbasis Programmable System on Chip Beacon and telemetri,Universitas Gadjah Mada,LPK,LPK,SUNARNO,rancang bangun instrumentasi ukur jarak posisi roket bas programmable sistem on chip beacon dan telemetri
Pembuatan Parfum yang Baik dan Sehat,Universitas Gadjah Mada,LPK,LPK,JUMINA,parfum sehat
Inovasi Teknologi Produksi 2 3 6 7 -Tetrahidroksixanton dari Resorsinol dan Karbon Dioksida serta Uji Aktivitasnya sebagai Antibiotik berspektrum Luas,Universitas Gadjah Mada,LPK,LPK,JUMINA,inovasi teknologi produksi -tetrahidroksixanton resorsinol karbon dioksida uji aktivitas antibiotik spektrum luas
Sintesis dan Uji Aktivitas Senyawa Antimalaria (1)-N-(4-etoksi 3-metoksibenzil)-1 10-Fenantrolina dari Vanilin,Universitas Gadjah Mada,LPK,LPK,JUMINA,sintesis uji aktivitas senyawa antimalaria -n- -etoksi -metoksibenzil - -fenantrolina vanilin
Uji Ekspektoran Produk OB Herbal,Universitas Gadjah Mada,LPK,LPK,ARIEF NURROCHMAD,uji ekspektoran produk ob herbal
Uji Toksisitas Subkronis (OECD 408),Universitas Gadjah Mada,LPK,LPK,ARIEF NURROCHMAD,uji toksisitas subkronis oecd
Sistem Skrining Penyakit Leukemia Akut dengan Pengenalan Citra Secara Otomatis Menggunakan Perangkat Mikroskop Cerdas,Universitas Gadjah Mada,LPK,LPK,M. LUTFAN LAZUARDI,sistem skrining sakit leukemia akut kenal citra otomatis perangkat mikroskop cerdas
Disain formula obat kanker berbasis herbal dengan pendekatan kombinasi terarah untuk kanker payudara metastatik,Universitas Gadjah Mada,LPK,LPK,EDY MEIYANTO,disain formula obat kanker bas herbal kombinasi arah kanker payudara metastatik
Pengembangan Material Berbasis Komposit TiO2-clay untuk Aplikasi Desinfeksi Air dengan Teknologi Membran Nanokeramik Bifungsional,Universitas Islam Indonesia,LPK,LPK,IS FATIMAH,kembang material bas komposit tio-clay aplikasi desinfeksi air teknologi membran nanokeramik bifungsional
Pengembangan Material berbasis composite TiO2-clay untuk aplikasi desinfeksi air dengan teknologi membrane nanokeramik bifungsional,Universitas Islam Indonesia,LPK,LPK,IS FATIMAH,kembang material bas composite tio-clay aplikasi desinfeksi air teknologi membrane nanokeramik bifungsional
Komposit TiO2/Montmorillonit Ekstrak Kulit Buah Manggis dan Aplikasinya dalam Dye Sensitized Solar Cell,Universitas Islam Indonesia,LPK,LPK,IS FATIMAH,komposit tio montmorillonit ekstrak kulit buah manggis aplikasi dye sensitized solar cell
Atom economical conversion of citronellal to menthol viacatalytic hydrogen transfer over Pt supported zirconia-pillared clay catalyst,Universitas Islam Indonesia,LPK,LPK,IS FATIMAH,atom economical conversion of citronellal to menthol viacatalytic hydrogen transfer over pt supported zirconia-pillared clay catalyst
Pengembangan Material Penutup Luka Berbasis Komposit Selulosa Bakteri- Kitosan Terdeposisi Nanopartikel Perak serta Uji Antibakteri dan Uji Biokompatibilitasnya,LPPM - Univ. Negeri Yogyakarta,LPK,LPK,ELI ROHAETI,kembang material tutup luka bas komposit selulosa bakteri- kitosan terdeposisi nanopartikel perak uji antibakteri uji biokompatibilitasnya
Pengembangan Metode Amplifikasi Isotermal NASBA (Nucleic Acid Sequence Based Amplification) untuk Deteksi Virus Penyakit Jembrana,Universitas Gadjah Mada,LPK,LPK,ASMARANI KUSUMAWATI,kembang metode amplifikasi isotermal nasba nucleic acid sequence based amplification deteksi virus sakit jembrana
Pembuatan Matriks Gigi Tiruan Termoplatik Nilon dengan Doping Nano Kitosan Penguat Serat Alam,LPPM - Univ. Gadjah Mada,LPK,LPK,TITIK ISMIYATI,matriks gigi tiru termoplatik nilon doping nano kitosan kuat serat alam
INDUSTRIALISASI PAKAN IKAN ALTERNATIF DENGAN TEKNOLOGI FERMENTASI DAN PEMANFAATAN LIMBAH PERIKANAN (ZERO WASTE) DALAM SEBUAH SISTEM KEMITRAAN YANG BERKELANJUTAN DI D.I. YOGYAKARTA,LPPM - Univ. Gadjah Mada,LPK,LPK,DIDIK PURWADI,industrialisasi pakan ikan alternatif teknologi fermentasi manfaat limbah ikan nol waste buah sistem mitra yogyakarta
Aplikasi EFD (Ergonomic Function Deployment) pada Rumah Makan,Universitas Gadjah Mada,LPK,LPK,DIDIK PURWADI,aplikasi efd ergonomic function deployment rumah makan
Pengembangan Media Pembelajaran Berbantuan Komputer untuk Meningkatkan Kualitas Perkuliaahan Metrologi Industri,Universitas Negeri Yogyakarta,LPK,LPK,WAGIRAN,kembang media ajar bantu komputer tingkat kualitas perkuliaahan metrologi industri
"Aplikasi Jamur Entomopatogen Beauvenia Bassiana Pada Berbagai Konsentrasi Untuk Pengendalian Lepidiota SP  Pada Tanaman Kedelai"".",Universitas Pembangunan Nasional Veteran Yogyakarta,LPK,LPK,RR RUKMOWATI BROTODJOJO,aplikasi jamur entomopatogen beauvenia bassiana konsentrasi kendali lepidiota sp tanam kedelai
Isolasi dan Identifikasi Minyak Atsiri Bunga dan Daun Kenikir (Cosmos caudatus),Universitas Islam Indonesia,LPK,LPK,RIYANTO,isolasi identifikasi minyak atsiri bunga daun kenikir cosmos caudatus
Pembelajaran Mata Kuliah Proses Metalurgi Serbuk dengan Metode Project based Learning dalam Pembuatan Produk Seni,Universitas Islam Indonesia,LPK,LPK,RIYANTO,ajar kuliah proses metalurgi serbuk metode project based learning produk seni
Pengembangan Mesin Multifungsi Berpengendali PLC Sebagai Media Pembelajaran Praktik Berbasis Student Centered Learning di SMK,Universitas Negeri Yogyakarta,LPK,LPK,SUKIR,kembang mesin multifungsi endal plc media ajar praktik bas student centered learning smk
Keragaman Genetik Bakteri Endofit Pemacu Pertumbuhan Tanaman Yang Diisolasi Dari Bintil Akar Tanaman Kedelai,Universitas Gadjah Mada,LPK,LPK,JAKA WIDADA,ragam genetik bakteri endofit pacu tumbuh tanam isolasi bintil akar tanam kedelai
Upaya Menurunkan Angka Kematian Ibu dan Bayi melalui Transformasi Budaya (Studi kasus mengenai kesehatan ibu hamil di Kabupaten Ende Nusa Tenggara Timur,Universitas Gadjah Mada,LPK,LPK,ATIK TRIRATNAWATI,upaya turun angka mati bayi transformasi budaya studi sehat hamil kabupaten ende nusa tenggara timur
Man of Reeds The Marginalization of Women in Community Elderly Fisherman Java,Universitas Gadjah Mada,LPK,LPK,ATIK TRIRATNAWATI,man of reeds the marginalization of women in community elderly fisherman java
Perempuan dalam Belenggu Korupsi: Antara Mentalitas dan Gaya Hidup,Universitas Gadjah Mada,LPK,LPK,ATIK TRIRATNAWATI,perempuan belenggu korupsi mentalitas gaya hidup
Studi Pendidikan pada Anak dengan Cacat Perkembangan di Sekolah Luar Biasa (SLB) Yogyakarta,Universitas Gadjah Mada,LPK,LPK,ELSI DWI HAPSARI,studi didik mahasiswa cacat kembang sekolah slb yogyakarta
Diagnosis and characterization of Newcastle diseases virus causing lethal poultry disease outbreaks in Indonesia,Universitas Gadjah Mada,LPK,LPK,MICHAEL HARYADI WIBOWO,diagnosis dan characterization of newcastle diseases virus causing lethal poultry disease outbreaks in indonesia
Analisa Pendugaan Erosi Dengan Metode MUSLE MUSS dan MUST Pada Daerah Aliran Sungai Bengawan Solo.,Universitas Gadjah Mada,LPK,LPK,SUKIRNO,analisa duga erosi metode musle muss harus daerah alir sungai bengawan solo
Simulasi Tanggapan Lengas Tanah Terhadap Produksi Tanaman Padi (Oryza Sativa L.) Di Lahan Kering Menggunakan Model AquaCrop.,Universitas Gadjah Mada,LPK,LPK,SUKIRNO,simulasi tanggap lengas tanah produksi tanam padi oryza sativa lahan kering model aquacrop
Pengaruh Windbreak Terhadap Iklim Mikro Pada Model Konservasi Tanah dan Air di Lahan Marginal (Pasir Pantai) di Pantai Samas Bantul DIY.,Universitas Gadjah Mada,LPK,LPK,SUKIRNO,pengaruh windbreak iklim mikro model konservasi tanah air lahan marginal pasir pantai pantai samas bantul diy
Analisa Distribusi Curah Hujan dan Neraca Air dengan Menggunakan Geographic Information System (GIS) di Wilayah Jawa Tengah dan Daerah Istimewa Yogyakarta,Universitas Gadjah Mada,LPK,LPK,SUKIRNO,analisa distribusi curah hujan neraca air geographic informasi sistem gis wilayah jawa tengah daerah istimewa yogyakarta
Penataan Penguasaan Hak Atas Tanah Bagi Masyarakat Adat: Solusi Penyelesaian Sengketa Agraria Berbasis Kearifan Lokal,Universitas Islam Indonesia,LPK,LPK,MUKMIN,tata kuasa hak tanah masyarakat adat solusi selesai sengketa agraria bas arif lokal
Implementasi Pasal 76 UU No. 13 Tahun 2013 Tentang Ketenagakerjaan Dan Pengaturan Memperkerjakan Buruh Perempuan Pada Malam Hari Di Kota Yogyakarta,Universitas Islam Indonesia,LPK,LPK,MUKMIN,implementasi pasal uu no tahun ketenagakerjaan atur buruh perempuan malam kota yogyakarta
Pengembangan Sistem Pengujian Hasil Belajar Berbantuan Komputer (Computerized Adaptive Testing),Universitas Negeri Yogyakarta,LPK,LPK,DJEMARI MARDAPI,kembang sistem uji hasil ajar bantu komputer computerized adaptive testing
Pembuatan Prototype dan Konversi Honda Jazz,Universitas Gadjah Mada,LPK,LPK,JAYAN SENTANUHADY,prototype konversi honda jazz
Faktor-faktor Penentu Mahasiswa Memilih Kuliah di Prodi Ekonomi Islam FIAI UII,Universitas Islam Indonesia,LPK,LPK,NUR KHOLIS,faktor mahasiswa pilih kuliah prodi ekonomi islam fiai uii
Pengembangan Interactive Student’s Book Berbasis ICT untuk Mendukung Aktivitas Eksplorasi Konsep-Konsep Geometri,Universitas Negeri Yogyakarta,LPK,LPK,ALI MAHMUDI,kembang interactive student book bas ict dukung aktivitas eksplorasi konsep geometri
Regulasi fisiologis dan biokimiawi adaptasi tanaman kentang (Solanum tuberosum L.) di dataran menengah,Universitas Gadjah Mada,LPK,LPK,KUMALA DEWI,regulasi fisiologis biokimiawi adaptasi tanam kentang solanum tuberosum datar tengah
Induksi Mutasi Padi Beras Hitam (Oryza sativa L. var  Cempo Ireng) Dengan Sodium Azida (NaN3) :I. Efek sinar biru pada kualitas benih dan seleksi awal tanaman semi kerdil ,Universitas Gadjah Mada,LPK,LPK,KUMALA DEWI,induksi mutasi padi beras hitam oryza sativa var cempo ireng sodium azida nan efek sinar biru kualitas benih seleksi tanam semi kerdil
Pengembangan Senyawa Kompleks Kromium (III) dengan Asam Amino dan Uji Aktivitasnya Sebagai Kandidat Suplemen Antidiabetes,Universitas Negeri Yogyakarta,LPK,LPK,KUN SRI BUDIASIH,kembang senyawa kompleks kromium iii asam amino uji aktivitas kandidat suplemen antidiabetes
Pemanfaatan Ubi Jalar (Ipomea batatas) Kultivar Kuning Madu Pada Pembuatan Permen Chewy Berkarotenoid,Universitas Gadjah Mada,LPK,LPK,ENI HARMAYANI,manfaat ubi jalar ipomea batatas kultivar kuning madu permen chewy karotenoid
Pemanfaatan Daun Jati (Tectona Grandis) Dan Kayu Secang (Caesalpinia Sappan L.) Sebagai Pewarna Alami Dalam Pengolahan Makanan (Studi Kasus Umkm Kerupuk Aci Di Pundong Bantul). ,Universitas Gadjah Mada,LPK,LPK,ENI HARMAYANI,manfaat daun jati tectona grandis kayu secang caesalpinia sappan warna alami olah makan studi umkm kerupuk aci pundong bantul
Penguatan Pusat Studi Pangan dan Gizi sebagai Center of Excellence Penelitian dan Pengembangan Pangan Lokal,Universitas Gadjah Mada,LPK,LPK,ENI HARMAYANI,kuat pusat studi pangan gizi tengah of excellence teliti kembang pangan lokal
Variasi Perlakuan Pendahuluan pada Pengupasan Kulit dan Penambahan Tepung Beras untuk Memperbaiki Proses Pembuatan Tempe Kecipir (Psophocarpus tetragonolobus).,Universitas Gadjah Mada,LPK,LPK,ENI HARMAYANI,variasi kupas kulit tepung beras proses tempe kecipir psophocarpus tetragonolobus
Pengembangan Bio Power Plant Menuju Pasar Buah Mandiri Energi dan Ramah Lingkungan,Universitas Gadjah Mada,LPK,LPK,SITI SYAMSIAH,kembang bio power plant pasar buah mandiri energi ramah lingkung
Pemetaan Status Kesuburan Tanah Skala 1 : 25.000 untuk Meningkatkan Efisiensi Penggunaan Pupuk N P K Padi Sawah (,Universitas Gadjah Mada,LPK,LPK,BAMBANG HENDRO SUNARMINTO,meta status subur tanah skala tingkat efisien pupuk padi sawah
Penangkaran Dan Pemanfaatan Plasma Nutfah: Jagung Cabai Bunga Kertas Tomat dan Bawang Merah,Universitas Gadjah Mada,LPK,LPK,PANJISAKTI BASUNANDA,tangkar manfaat plasma nutfah jagung cabai bunga kertas tomat bawang merah
Pengembangan Multimedia Pembelajaran Konsep Analisis dan Perumusan Tujuan Instruksional untuk Mahasiswa Prodi TP,Universitas Negeri Yogyakarta,LPK,LPK,SUYANTININGSIH,kembang multimedia ajar konsep analisis rumus instruksional mahasiswa prodi tetapi
Analisis Faktor Iklim kualitas Pembelajaran Geografi SMA,Universitas Negeri Yogyakarta,LPK,LPK,MUKMINAN,analisis faktor iklim kualitas ajar geografi sma
Alat Permainan Educatif (APE) Puzzel Geometry untuk Mengembangkan Kecerdasan Matematis Logis Anak Usia Play Group (PG),Universitas Negeri Yogyakarta,LPK,LPK,NELVA ROLINA,alat main educatif ape puzzel geometry kembang cerdas matematis logis mahasiswa usia play grup pg
Implementasi Metode Role Playing ( Strategi Meningkatkan Nilai-Nilai Karakter Dalam Mata Kuliah Ekonomi Kerakyatan ),Universitas Negeri Yogyakarta,LPK,LPK,KIROMIM BAROROH,implementasi metode role playing strategi tingkat nilai karakter kuliah ekonomi rakyat
Optimasi Proses Pembuatan Tablet Effervescent Sari Buah Markisa,Universitas Gadjah Mada,LPK,LPK,SUPRIYANTO,optimasi proses tablet effervescent sari buah markisa
Pengaruh Alkalisasi Keping Biji Kakao terhadap Sifat Fisik Kimia dan Sensoris Cokelat Bubuk,Universitas Gadjah Mada,LPK,LPK,SUPRIYANTO,pengaruh alkalisasi keping biji kakao sifat fisik kimia sensoris cokelat bubuk
Pemanfaatan Kulit Biji Kakao (Theobroma cacao L.) sebagai Pewarna Makanan dan Sumber Selulosa,Universitas Gadjah Mada,LPK,LPK,SUPRIYANTO,manfaat kulit biji kakao theobroma cacao warna makan sumber selulosa
Analaisis Faktor-Faktor Yang Mempengaruhi Kebijakan Penyaluran Kredit Perbankan ( Studi Pada Bank Umum di Propinsi DIY Periode Tahun 2007 – 2011 ),Universitas Negeri Yogyakarta,LPK,LPK,SUPRIYANTO,analaisis faktor pengaruh bijak salur kredit perban studi bank umum propinsi diy periode tahun
Studi Eksplorasi Pemanfaatan E-Learning sbg Media Pembelajaran di FISE UNY,Universitas Negeri Yogyakarta,LPK,LPK,ALI MUHSON,studi eksplorasi manfaat e-learning sebagai media ajar fise uny
Profil Kompetensi Lulusan D3 Teknik Sipil yang bekerja di Industri Jasa Konstruksi,Universitas Negeri Yogyakarta,LPK,LPK,AGUS SANTOSO,profil kompetensi lulus teknik sipil industri jasa konstruksi
Eksplorasi Mineral Logam dengan Metode Induksi Polarisasi (IP) Daerah Mekarjaya Kecamatan Cidolok Kabupaten Sukabumi Jawa Barat,Universitas Pembangunan Nasional Veteran Yogyakarta,LPK,LPK,AGUS SANTOSO,eksplorasi mineral logam metode induksi polarisasi ip daerah mekarjaya camat cidolok kabupaten sukabumi jawa barat
Efek Penambahan Serat Polyproylene terhadap Daya Lekat dan Kuat Lentur pada Rehabitasi Struktur Beton dengan Self-Compacting Reapir Mortar (SCRM).,Universitas Negeri Yogyakarta,LPK,LPK,AGUS SANTOSO,efek serat polyproylene daya lekat kuat lentur rehabitasi struktur beton self-compacting reapir mortar scrm
Peningkatan Ketrampilan Belajar Mahasiswa PGSD melalui Model Active Learning pada Mata Kuliah Inovasi Pendidikan,Universitas Negeri Yogyakarta,LPK,LPK,UNIK AMBAR WATI,tingkat ketrampilan ajar mahasiswa pgsd model aktif learning kuliah inovasi didik
Sistem Manajemen Baterai,Universitas Gadjah Mada,LPK,LPK,LUKITO EDI NUGROHO,sistem manajemen baterai
Pengembangan Ekonomi Usaha Kecil Berbasis NJ Model,Universitas Teknologi Yogyakarta,LPK,LPK,JUNAIDI,kembang ekonomi usaha bas nj model
Identifikasi Molekuler Cacing Acanthocephala Pada Ayam Petelur Dan Gambaran Histopatologi Pada Organ Yang Terinfeksi,Universitas Gadjah Mada,LPK,LPK,JOKO PRASTOWO,identifikasi molekuler cacing acanthocephala ayam telur gambar histopatologi organ infeksi
Peran Pimpinan Komunitas dalam Menggerakkan Modal Sosial (Studi di Komunitas Kali Code Gondolayu Yogyakarta),Universitas Negeri Yogyakarta,LPK,LPK,FARIDA HANUM,peran pimpin komunitas gerak modal sosial studi komunitas code gondolayu yogyakarta
Mengatasi Masalah Demam Berdarah Dengue (DBD) dengan Alat Penyedot Pupa dan Identifikasi Virus Dengue dengan Menggunakan Antibodi Monoklonal Produksi UGM,Universitas Gadjah Mada,LPK,LPK,SITTI RAHMAH UMNIYATI,demam darah dengue dbd alat sedot pupa identifikasi virus dengue antibodi monoklonal produksi universitas gajah mada
Penggunaan Enforcement Immuty dalam Pelaksanaan Putusan Arbitrase Luar Negeri Menurut Konvensi New York 1958,Universitas Islam Indonesia,LPK,LPK,SEFRIANI,enforcement immuty laksana putus arbitrase negeri konvensi baru york
Studi Komparatif Usahatani Tebu Rakyat Kemitraan (TRK) Dan Tebu Rakyat Mandiri (trm) Dengan Pabrik Gula Madukismo Di Kabupaten Bantul,Universitas Gadjah Mada,LPK,LPK,MASYHURI,studi komparatif usahatani tebu rakyat mitra trk tebu rakyat mandiri terima pabrik gula madukismo kabupaten bantul
Produksi Poliester dan Poliamida Baru dari Minyak Kelapa Sawit serta Pengolahannya Menjadi Prototipe Kain Kualitas Unggul,Universitas Gadjah Mada,LPK,LPK,PANUT MULYONO,produksi poliester poliamida minyak kelapa sawit olah prototipe kain kualitas unggul
Synthesis of Novel C-arylcalix[4]resorcinarene-chitosan Hybrids from Clove Leave Oil and Their Application as Adsorbent and Extractant for Heavy Metal Cations,Universitas Gadjah Mada,LPK,LPK,DWI SISWANTA,synthesis of novel c-arylcalix resorcinarene-chitosan hybrids dari clove leave oil dan mereka application as adsorbent dan extractant untuk heavy metal cations
Membran Makropori Kompleks Polielektrolit Kitosankaraginan sebagai Adsorben Metilen Biru yang Efektif,Universitas Gadjah Mada,LPK,LPK,DWI SISWANTA,membran makropori kompleks polielektrolit kitosankaraginan adsorben metilen biru efektif
